"UNKNOWN" "UNKNOWN" "Name" "No."
"153" "2005" " 53" "Mya" "62"
"154" "2005" " 54" "Aimee" "60"
"155" "2005" " 55" "Alyssa" "60"
"156" "2005" " 56" "Eva" "60"
"157" "2005" " 57" "Victoria" "60"
"158" "2005" " 58" "Aaliyah" "58"
"159" "2005" " 59" "Alice" "57"
"160" "2005" " 60" "Leah" "57"
"161" "2005" " 61" "Zara" "57"
"162" "2005" " 62" "Abby" "56"
"163" "2005" " 63" "Nicole" "56"
"164" "2005" " 64" "Mackenzie" "55"
"165" "2005" " 65" "Phoebe" "55"
"166" "2005" " 66" "Riley" "55"
"167" "2005" " 67" "Brianna" "52"
"168" "2005" " 68" "Isabelle" "50"
"169" "2005" " 69" "Laura" "50"
"170" "2005" " 70" "Rose" "50"
"171" "2005" " 71" "Angel" "49"
"172" "2005" " 72" "Ashleigh" "48"
"173" "2005" " 73" "Maya" "48"
"174" "2005" " 74" "Bella" "47"
"175" "2005" " 75" "Caitlyn" "47"
"176" "2005" " 76" "Lauren" "47"
"177" "2005" " 77" "Rachel" "47"
"178" "2005" " 78" "Gemma" "46"
"179" "2005" " 79" "Brooklyn" "45"
"180" "2005" " 80" "Keira" "45"
"181" "2005" " 81" "Madeline" "45"
"182" "2005" " 82" "Natasha" "45"
"183" "2005" " 83" "Nikita" "45"
"184" "2005" " 84" "Faith" "44"
"185" "2005" " 85" "Ashlee" "43"
"186" "2005" " 86" "Jemma" "43"
"187" "2005" " 87" "Eden" "42"
"188" "2005" " 88" "Isla" "42"
"189" "2005" " 89" "Lilly" "42"
"190" "2005" " 90" "Madeleine" "42"
"191" "2005" " 91" "Poppy" "42"
"192" "2005" " 92" "Sienna" "42"
"193" "2005" " 93" "Taylor" "42"
"194" "2005" " 94" "Harmony" "41"
"195" "2005" " 95" "Jordan" "41"
"196" "2005" " 96" "Kaitlyn" "41"
"197" "2005" " 97" "Megan" "41"
"198" "2005" " 98" "Scarlett" "40"
"199" "2005" " 99" "Stephanie" "40"
"200" "2005" "100" "Imogen" "39"
"201" "2006" "  1" "Charlotte" "324"
"202" "2006" "  2" "Ella" "320"
"203" "2006" "  3" "Sophie" "295"
"204" "2006" "  4" "Emma" "286"
"205" "2006" "  5" "Olivia" "278"
"206" "2006" "  6" "Emily" "277"
"207" "2006" "  7" "Grace" "262"
"208" "2006" "  8" "Jessica" "261"
"209" "2006" "  9" "Hannah" "254"
"210" "2006" " 10" "Lily" "234"
"211" "2006" " 11" "Isabella" "224"
"212" "2006" " 12" "Lucy" "194"
"213" "2006" " 13" "Chloe" "190"
"214" "2006" " 14" "Ruby" "174"
"215" "2006" " 15" "Georgia" "168"
"216" "2006" " 16" "Paige" "167"
"217" "2006" " 17" "Amelia" "164"
"218" "2006" " 18" "Maia" "161"
"219" "2006" " 19" "Zoe" "161"
"220" "2006" " 20" "Madison" "157"
"221" "2006" " 21" "Brooke" "154"
"222" "2006" " 22" "Holly" "150"
"223" "2006" " 23" "Samantha" "150"
"224" "2006" " 24" "Sarah" "149"
"225" "2006" " 25" "Mia" "143"
"226" "2006" " 26" "Ava" "142"
"227" "2006" " 27" "Jasmine" "132"
"228" "2006" " 28" "Kate" "123"
"229" "2006" " 29" "Hayley" "122"
"230" "2006" " 30" "Caitlin" "121"
"231" "2006" " 31" "Jade" "114"
"232" "2006" " 32" "Sophia" "105"
"233" "2006" " 33" "Amber" "103"
"234" "2006" " 34" "Eva" "102"
"235" "2006" " 35" "Molly" "100"
"236" "2006" " 36" "Amy" "96"
"237" "2006" " 37" "Katie" "92"
"238" "2006" " 38" "Keira" "91"
"239" "2006" " 39" "Anna" "89"
"240" "2006" " 40" "Sienna" "89"
"241" "2006" " 41" "Summer" "88"
"242" "2006" " 42" "Zara" "87"
"243" "2006" " 43" "Maddison" "86"
"244" "2006" " 44" "Kayla" "84"
"245" "2006" " 45" "Elizabeth" "83"
"246" "2006" " 46" "Abigail" "82"
"247" "2006" " 47" "Isla" "82"
"248" "2006" " 48" "Brianna" "80"
"249" "2006" " 49" "Danielle" "78"
"250" "2006" " 50" "Rebecca" "77"
"251" "2006" " 51" "Alyssa" "76"
"252" "2006" " 52" "Jorja" "74"
"253" "2006" " 53" "Leah" "72"
"254" "2006" " 54" "Aaliyah" "70"
"255" "2006" " 55" "Alexandra" "68"
"256" "2006" " 56" "Tayla" "68"
"257" "2006" " 57" "Ashley" "67"
"258" "2006" " 58" "MacKenzie" "67"
